34.0,56.0
13.0,45.0
43.0,91.0
33.0,66.0
93.0,43.0
59.0,66.0
89.0,44.0
55.0,95.0
99.0,25.0
1.0,21.0
63.0,56.0
6.0,26.0
32.0,25.0
65.0,12.0
16.0,20.0
18.0,39.0
47.0,31.0
69.0,29.0
69.0,68.0
84.0,72.0
43.0,32.0
94.0,8.0
34.0,17.0
48.0,15.0
75.0,78.0
42.0,9.0
70.0,29.0
39.0,44.0
70.0,38.0
7.0,73.0
3.0,48.0
85.0,85.0
71.0,76.0
1.0,67.0
43.0,10.0
12.0,59.0
69.0,55.0
11.0,4.0
44.0,24.0
15.0,3.0
39.0,7.0
30.0,62.0
32.0,81.0
15.0,60.0
70.0,12.0
64.0,62.0
0.0,22.0
41.0,78.0
10.0,79.0
98.0,71.0
69.0,60.0
33.0,58.0
92.0,89.0
82.0,96.0
94.0,72.0
56.0,22.0
14.0,80.0
8.0,14.0
75.0,70.0
38.0,91.0
68.0,91.0
37.0,0.0
69.0,5.0
36.0,74.0
72.0,27.0
43.0,37.0
74.0,86.0
99.0,21.0
78.0,94.0
93.0,62.0
89.0,26.0
31.0,77.0
13.0,69.0
65.0,38.0
88.0,34.0
33.0,48.0
12.0,99.0
85.0,12.0
12.0,66.0
68.0,34.0
10.0,29.0
48.0,48.0
44.0,60.0
59.0,61.0
25.0,53.0
11.0,43.0
45.0,16.0
28.0,14.0
22.0,57.0
93.0,54.0
30.0,83.0
46.0,27.0
59.0,75.0
76.0,92.0
77.0,2.0
40.0,13.0
58.0,76.0
83.0,86.0
57.0,94.0
47.0,89.0
53.0,31.0
86.0,51.0
45.0,47.0
3.0,28.0
68.0,49.0
51.0,54.0
75.0,99.0
2.0,41.0
92.0,52.0
88.0,77.0
42.0,62.0
63.0,47.0
7.0,1.0
1.0,1.0
89.0,45.0
64.0,98.0
28.0,4.0
30.0,74.0
71.0,56.0
64.0,60.0
63.0,80.0
27.0,10.0
61.0,73.0
53.0,73.0
75.0,61.0
2.0,23.0
69.0,49.0
23.0,29.0
42.0,72.0
92.0,82.0
30.0,56.0
42.0,99.0
84.0,67.0
8.0,60.0
37.0,78.0
55.0,21.0
12.0,63.0
74.0,86.0
93.0,2.0
12.0,84.0
37.0,88.0
53.0,18.0
7.0,63.0
79.0,15.0
97.0,85.0
24.0,54.0
55.0,34.0
30.0,96.0
29.0,69.0
28.0,45.0
64.0,45.0
17.0,96.0
94.0,42.0
60.0,37.0
39.0,12.0
